                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.14928,                0.73684,                      1,                0.16706,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                0.05589,                      1,                      1,                0.11648,             0.00015772,             0.00015772,             0.00015772
                      3,                0.01736,                      1,                      1,                0.10018,             0.00023011,             0.00023011,             0.00023011
                      4,                0.00748,                      1,                      1,                0.09632,             0.00029571,             0.00029571,             0.00029571
                      5,                0.00182,                      1,                      1,                 0.0942,             0.00035453,             0.00035453,             0.00035453
                      6,                0.00173,                      1,                      1,                0.09382,             0.00040657,             0.00040657,             0.00040657
                      7,                0.00063,                      1,                      1,                0.09333,             0.00045181,             0.00045181,             0.00045181
                      8,                0.00035,                      1,                      1,                0.09319,             0.00049028,             0.00049028,             0.00049028
                      9,                0.00035,                      1,                      1,                0.09311,              0.0004878,              0.0004878,              0.0004878
                     10,                0.00017,                      1,                      1,                 0.0931,              0.0004878,              0.0004878,              0.0004878
                     11,                0.00024,                      1,                      1,                0.09308,             0.00045953,             0.00045953,             0.00045953
                     12,                  7e-05,                      1,                      1,                0.09309,             0.00043126,             0.00043126,             0.00043126
                     13,                0.00074,                      1,                      1,                0.09309,             0.00040298,             0.00040298,             0.00040298
                     14,                0.00021,                      1,                      1,                0.09311,             0.00037471,             0.00037471,             0.00037471
                     15,                0.00025,                      1,                      1,                0.09309,             0.00034643,             0.00034643,             0.00034643
                     16,                 0.0002,                      1,                      1,                0.09308,             0.00031816,             0.00031816,             0.00031816
                     17,                  7e-05,                      1,                      1,                0.09307,             0.00028988,             0.00028988,             0.00028988
                     18,                  4e-05,                      1,                      1,                 0.0931,             0.00026161,             0.00026161,             0.00026161
                     19,                  5e-05,                      1,                      1,                 0.0931,             0.00023334,             0.00023334,             0.00023334
                     20,                  9e-05,                      1,                      1,                0.09308,             0.00020506,             0.00020506,             0.00020506
                     21,                  9e-05,                      1,                      1,                0.09309,             0.00017679,             0.00017679,             0.00017679
                     22,                  8e-05,                      1,                      1,                0.09309,             0.00014851,             0.00014851,             0.00014851
                     23,                0.00011,                      1,                      1,                0.09311,             0.00012024,             0.00012024,             0.00012024
                     24,                0.00024,                      1,                      1,                0.09313,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                  8e-05,                      1,                      1,                 0.0931,             6.3689e-05,             6.3689e-05,             6.3689e-05
